slide,yc,sequoia,a16z,first_round,docsend,techstars,500_global,forum_ventures,focused_chaos,nfx,reid_hoffman
title,,,,,,yes,yes,,,
problem,yes,,yes,,yes,yes,yes,yes,yes,,
solution,yes,,yes,,yes,yes,yes,yes,,,
why_now,yes,,,,yes,,,yes,yes,yes,yes
market_size,yes,yes,yes,,yes,yes,yes,yes,yes,,
product,yes,,,,yes,yes,,,,
business_model,,yes,,,yes,,yes,yes,,,yes
traction,,,,,yes,yes,yes,yes,yes,,
go_to_market,,,,yes,,yes,yes,yes,yes,,
competition,,,,yes,,yes,yes,yes,yes,,
team,yes,,,yes,yes,yes,yes,yes,yes,,yes
ask,yes,,,yes,,yes,yes,yes,,,
